"control_S0_L001_quant","control_S64_L001_quant","control_S40_L001_quant","case_S110_L001_quant","case_S65_L001_quant","case_S52_L001_quant"
"ENSG00000167377.19",241,260,378,220,211,363
"ENSG00000167378.10",282,268,307,379,417,346
"ENSG00000167380.17",146,42,85,143,131,200
"ENSG00000167384.11",162,218,249,120,237,383
"ENSG00000167390.8",0,0,0,0,0,0
"ENSG00000167393.18",104,154,176,164,191,206
"ENSG00000167394.13",149,133,101,263,184,87
"ENSG00000167395.10",201,116,164,264,255,103
"ENSG00000167397.15",424,565,499,697,487,527
"ENSG00000167414.5",0,0,0,0,0,0
"ENSG00000167419.11",0,1,2,1,0,0
"ENSG00000167434.10",0,0,0,1,1,0
"ENSG00000167447.13",144,170,99,376,180,109
"ENSG00000167459.17",0,0,0,0,0,0
"ENSG00000167460.17",9028,6878,6821,19611,10825,4567
"ENSG00000167461.12",491,450,515,1586,802,490
"ENSG00000167468.19",5419,4629,4697,5338,4777,3475
"ENSG00000167470.14",1013,762,980,1947,1561,840
"ENSG00000167476.10",26,16,23,356,31,73
"ENSG00000167483.19",14,15,9,12,18,15
"ENSG00000167487.12",86,64,81,181,90,85
"ENSG00000167491.18",958,668,675,2120,1210,513
"ENSG00000167494.9",0,0,0,0,0,0
"ENSG00000167508.12",1983,2102,1881,2434,2459,1798
"ENSG00000167513.9",344,539,405,904,864,531
"ENSG00000167515.10",865,792,745,1021,1142,741
"ENSG00000167522.17",2571,2438,3330,4410,3622,2941
"ENSG00000167523.15",62,87,85,142,131,85
"ENSG00000167524.16",100,127,203,152,341,159
"ENSG00000167525.15",19,39,18,21,37,26
"ENSG00000167526.14",59690,54831,54248,63433,54663,38952
"ENSG00000167528.13",68,80,92,94,146,158
"ENSG00000167531.6",0,0,0,0,0,1
"ENSG00000167535.8",145,149,180,323,180,201
"ENSG00000167536.14",131,143,126,203,211,117
"ENSG00000167543.16",1224,1085,963,982,1458,1385
"ENSG00000167548.18",920,825,741,1246,1453,816
"ENSG00000167549.19",5,2,1,8,2,2
"ENSG00000167550.11",23,17,12,57,54,67
"ENSG00000167552.15",195,89,77,220,246,237
"ENSG00000167553.17",5874,7920,8473,13582,11319,7074
"ENSG00000167554.15",1,0,0,0,0,1
"ENSG00000167555.14",1,0,0,0,8,1
"ENSG00000167562.14",15,14,15,9,1,11
"ENSG00000167565.13",366,324,328,616,376,251
"ENSG00000167566.17",87,91,59,193,144,121
"ENSG00000167578.18",188,145,168,319,220,178
"ENSG00000167580.8",1,0,0,14,4,12
"ENSG00000167588.13",3,4,6,2,5,4
"ENSG00000167595.15",70,72,56,106,107,85
"ENSG00000167600.14",3548,5216,4286,8609,4127,1674
"ENSG00000167601.12",940,1882,1722,4512,1879,1040
"ENSG00000167604.15",44,53,67,76,130,80
"ENSG00000167608.12",1204,857,828,1919,712,712
"ENSG00000167612.13",0,0,0,0,0,11
"ENSG00000167613.16",2,9,9,5,13,16
"ENSG00000167614.14",5,3,1,2,5,4
"ENSG00000167615.17",2583,1860,2157,1897,4172,2176
"ENSG00000167617.3",3708,1976,2231,1489,1321,1463
"ENSG00000167618.10",2,0,0,0,0,0
"ENSG00000167619.13",5,5,8,4,9,17
"ENSG00000167625.11",159,134,118,248,213,88
"ENSG00000167632.18",166,211,195,501,199,145
"ENSG00000167633.18",0,0,2,0,0,0
"ENSG00000167634.12",0,0,0,0,0,0
"ENSG00000167635.12",693,780,873,1512,841,911
"ENSG00000167637.18",101,119,140,78,109,140
"ENSG00000167641.11",1,1,0,1,6,0
"ENSG00000167642.13",20539,19927,19311,40611,24362,18701
"ENSG00000167644.12",6330,4430,5012,6495,6564,7506
"ENSG00000167645.17",528,575,468,826,947,508
"ENSG00000167646.14",62,42,44,55,23,43
"ENSG00000167653.5",383,148,235,6511,1329,1106
"ENSG00000167654.18",4,0,3,2,2,9
"ENSG00000167656.5",8,7,6,249,17,77
"ENSG00000167657.14",845,766,755,1414,941,760
"ENSG00000167658.16",65086,44694,35109,82863,45586,26966
"ENSG00000167664.8",0,0,0,0,0,0
"ENSG00000167670.16",388,355,354,889,695,289
"ENSG00000167671.12",3262,2103,1637,2985,2066,1397
"ENSG00000167674.15",789,945,927,2334,1250,609
"ENSG00000167676.5",0,0,3,1,6,5
"ENSG00000167680.17",8,9,19,26,12,31
"ENSG00000167685.15",143,174,165,311,178,190
"ENSG00000167693.17",10,10,10,13,26,25
"ENSG00000167695.15",483,345,377,789,667,328
"ENSG00000167699.14",1770,1650,1682,2742,2141,1424
"ENSG00000167700.9",661,717,558,975,853,732
"ENSG00000167701.14",11,20,36,7,32,27
"ENSG00000167702.13",2801,2510,3616,2274,3409,3525
"ENSG00000167703.15",150,141,109,296,247,143
"ENSG00000167705.12",469,260,212,365,407,332
"ENSG00000167711.14",25,27,22,64,28,28
"ENSG00000167716.19",366,278,179,451,500,226
"ENSG00000167720.13",102,104,140,127,171,97
"ENSG00000167721.11",769,989,994,1869,1523,1080
"ENSG00000167723.15",7,4,10,3,7,5
"ENSG00000167733.14",32,21,15,205,65,64
"ENSG00000167740.10",357,291,212,270,248,166
"ENSG00000167741.11",4,16,16,63,22,31
"ENSG00000167747.16",1223,1375,1047,1681,1939,1218
"ENSG00000167748.11",2,2,7,4,2,21
"ENSG00000167749.12",1,1,0,0,0,0
"ENSG00000167751.13",0,0,0,0,0,5
"ENSG00000167754.13",0,0,0,11,3,1
"ENSG00000167755.15",11,6,7,140,6,20
"ENSG00000167757.14",340,345,359,439,91,320
"ENSG00000167759.13",4,0,0,8,0,3
"ENSG00000167766.20",10,14,11,20,18,14
"ENSG00000167767.14",75,57,39,575,132,107
"ENSG00000167768.4",0,0,0,0,0,0
"ENSG00000167769.5",2,0,0,1,0,0
"ENSG00000167770.13",1094,785,805,1887,1544,839
"ENSG00000167771.6",166,166,197,152,95,139
"ENSG00000167772.12",2399,3150,2400,2115,959,1637
"ENSG00000167774.2",5,41,35,224,41,40
"ENSG00000167775.11",1442,2281,1625,2793,2436,1331
"ENSG00000167778.9",619,564,359,828,641,352
"ENSG00000167779.9",63,29,45,243,55,191
"ENSG00000167780.12",0,0,0,1,2,0
"ENSG00000167785.9",223,274,284,248,235,314
"ENSG00000167791.14",0,0,0,0,0,0
"ENSG00000167792.13",1803,1626,1660,2750,2517,1272
"ENSG00000167797.8",770,608,678,1231,745,478
"ENSG00000167798.18",11,0,0,36,183,55
"ENSG00000167799.10",134,151,183,256,216,136
"ENSG00000167800.10",0,1,1,0,2,2
"ENSG00000167807.15",6,9,17,10,18,22
"ENSG00000167815.12",3509,4413,3765,8229,3942,2383
"ENSG00000167822.3",0,0,0,0,0,0
"ENSG00000167825.3",0,0,0,0,0,0
"ENSG00000167840.13",152,256,250,229,260,175
"ENSG00000167842.16",428,442,426,379,453,485
"ENSG00000167850.4",0,0,0,1,0,0
"ENSG00000167851.15",5,0,0,9,4,3
"ENSG00000167858.13",0,0,0,0,0,0
"ENSG00000167861.16",1462,880,875,1133,1140,637
"ENSG00000167862.10",360,517,542,792,756,395
"ENSG00000167863.12",2067,2211,2417,3726,2413,1573
"ENSG00000167874.7",5,0,3,2,2,3
"ENSG00000167880.8",1032,1317,1206,1454,1691,791
"ENSG00000167881.15",1003,827,766,1698,982,622
"ENSG00000167889.13",0,1,0,0,0,0
"ENSG00000167895.15",154,185,193,461,582,586
"ENSG00000167900.12",883,1195,982,3042,2407,1088
"ENSG00000167904.16",864,1823,1768,975,1081,1442
"ENSG00000167910.4",1,2,0,0,0,1
"ENSG00000167912.7",74,51,77,96,53,137
"ENSG00000167914.12",0,0,1,2,3,5
"ENSG00000167916.5",0,0,0,0,0,0
"ENSG00000167920.11",22,17,8,91,34,66
"ENSG00000167925.16",585,671,342,949,646,553
"ENSG00000167930.17",562,357,395,1259,416,311
"ENSG00000167941.3",0,0,0,0,0,1
"ENSG00000167962.15",979,690,663,1262,1341,576
"ENSG00000167964.13",83,64,60,50,99,117
"ENSG00000167965.18",409,319,393,816,594,355
"ENSG00000167967.16",698,485,539,589,978,602
"ENSG00000167968.13",11,47,41,41,41,39
"ENSG00000167969.13",1772,1935,1758,1993,2360,1661
"ENSG00000167971.16",2,3,3,2,0,10
"ENSG00000167972.14",198,270,194,212,34,155
"ENSG00000167977.9",855,734,773,2051,1255,652
"ENSG00000167978.17",5124,4810,6044,5978,8922,5253
"ENSG00000167981.7",127,163,187,130,150,140
"ENSG00000167984.18",1,4,4,5,5,8
"ENSG00000167985.7",434,428,467,725,535,407
"ENSG00000167986.15",3160,3628,4656,6450,4905,3459
"ENSG00000167987.11",332,258,250,486,386,189
"ENSG00000167992.14",9,5,13,14,42,33
"ENSG00000167994.13",15,6,4,8,4,10
"ENSG00000167995.17",15,9,13,11,19,28
"ENSG00000167996.16",24666,24227,29791,53678,35825,38442
"ENSG00000168000.16",90,167,184,358,360,274
"ENSG00000168002.12",532,523,634,1314,1020,721
"ENSG00000168003.18",2916,3067,3030,6518,3673,2198
"ENSG00000168004.10",469,476,836,2499,1050,843
"ENSG00000168005.9",219,288,224,672,396,216
"ENSG00000168010.11",138,144,219,136,167,168
"ENSG00000168014.18",162,158,180,456,415,387
"ENSG00000168016.15",48,12,33,52,100,33
"ENSG00000168026.19",13,3,20,13,25,15
"ENSG00000168028.14",68678,71085,65137,53984,65540,48716
"ENSG00000168032.10",0,0,0,0,4,1
"ENSG00000168036.18",5104,6194,5061,5714,6773,7755
"ENSG00000168038.11",42,33,36,42,31,29
"ENSG00000168040.5",578,554,480,1079,809,475
"ENSG00000168056.18",529,403,363,763,639,626
"ENSG00000168060.16",1,0,0,0,2,1
"ENSG00000168061.17",158,254,241,446,260,184
"ENSG00000168062.10",2,0,4,30,17,11
"ENSG00000168065.16",0,0,1,1,2,0
"ENSG00000168066.21",2212,1675,1591,4019,3146,1587
"ENSG00000168067.12",122,79,97,348,303,189
"ENSG00000168070.12",0,0,0,0,0,0
"ENSG00000168071.22",326,383,355,257,351,422
"ENSG00000168077.14",5,13,13,20,11,12
"ENSG00000168078.10",1107,2403,2339,1215,2618,2887
"ENSG00000168079.17",5,1,0,1,42,13
"ENSG00000168081.9",0,0,0,0,0,0
"ENSG00000168090.10",922,796,688,1931,1084,695
"ENSG00000168092.14",2181,2706,2575,2773,2571,2459
"ENSG00000168096.15",280,193,286,256,375,257
"ENSG00000168101.14",1728,1309,1044,1148,1620,1154
"ENSG00000168116.14",121,125,149,39,119,194
"ENSG00000168118.12",751,718,763,503,486,530
"ENSG00000168122.4",2,3,3,0,4,6
"ENSG00000168124.2",0,0,0,0,0,0
"ENSG00000168126.3",0,0,0,0,3,0
"ENSG00000168129.8",0,0,0,0,0,0
"ENSG00000168131.4",1,0,3,0,0,2
"ENSG00000168135.4",4,0,0,6,0,18
"ENSG00000168137.20",1320,1119,1324,1453,1717,1265
"ENSG00000168140.5",6,4,18,55,16,18
"ENSG00000168143.9",128,152,97,183,176,98
"ENSG00000168148.4",0,0,0,0,0,0
"ENSG00000168152.13",139,152,160,69,160,205
"ENSG00000168158.4",0,0,0,0,1,0
"ENSG00000168159.15",1428,1159,1041,1867,1445,1080
"ENSG00000168172.9",635,862,975,428,526,1182
"ENSG00000168175.15",1010,1258,1545,1598,1223,1919
"ENSG00000168209.6",2751,3889,2537,5435,3566,2251
"ENSG00000168214.22",1102,1195,1624,895,1203,1528
"ENSG00000168216.13",1943,2546,2809,1714,1592,2906
"ENSG00000168228.16",89,120,102,142,172,145
"ENSG00000168229.4",0,0,0,0,1,0
"ENSG00000168234.13",211,166,172,183,249,210
"ENSG00000168237.18",288,296,220,290,570,358
"ENSG00000168243.11",9,4,7,13,5,5
"ENSG00000168246.6",522,905,1030,613,658,1058
"ENSG00000168255.20",243,121,201,174,218,178
"ENSG00000168256.18",513,281,301,676,511,303
"ENSG00000168259.17",1060,1032,1301,2736,1849,1121
"ENSG00000168263.9",0,0,2,1,0,0
"ENSG00000168264.11",3875,4781,5460,4584,3269,4708
"ENSG00000168267.7",0,0,0,0,0,0
"ENSG00000168268.11",647,828,580,1429,1265,609
"ENSG00000168269.10",0,0,0,0,0,0
"ENSG00000168273.8",203,242,233,279,273,242
"ENSG00000168275.16",557,737,742,692,745,864
"ENSG00000168280.18",1,1,0,1,1,2
"ENSG00000168282.6",1123,1386,1562,1084,972,2184
"ENSG00000168283.14",2964,3509,3749,1344,2755,5083
"ENSG00000168286.3",432,445,425,720,508,384
"ENSG00000168288.13",2468,2717,2822,3034,2398,2865
"ENSG00000168291.13",846,1064,1275,1435,1396,1103
"ENSG00000168297.16",77,96,89,82,129,143
"ENSG00000168298.7",13,23,18,12,6,9
"ENSG00000168300.14",1342,2458,2764,1111,1325,2664
"ENSG00000168301.13",59,78,100,49,107,107
"ENSG00000168303.9",498,850,966,547,672,819
"ENSG00000168306.13",6,4,23,5,74,35
"ENSG00000168309.18",0,0,1,1,5,10
"ENSG00000168310.11",416,557,624,632,393,452
"ENSG00000168314.19",5,4,0,0,6,1
"ENSG00000168329.14",2,0,0,1,2,2
"ENSG00000168333.14",0,1,0,0,0,0
"ENSG00000168334.9",0,0,0,0,0,0
"ENSG00000168348.4",0,0,0,0,2,0
"ENSG00000168350.8",49,91,96,293,123,357
"ENSG00000168356.13",2,2,4,2,6,8
"ENSG00000168367.11",0,0,0,0,0,1
"ENSG00000168374.11",4596,6391,7549,6904,5296,6791
"ENSG00000168385.18",5224,7389,8119,8199,6359,6683
"ENSG00000168386.19",34,24,33,43,64,59
"ENSG00000168389.18",58,34,55,90,134,73
"ENSG00000168393.13",718,951,737,1065,1428,889
"ENSG00000168394.12",849,946,1011,3558,2048,1275
"ENSG00000168395.16",462,463,522,537,865,554
"ENSG00000168397.17",726,590,595,1083,1033,770
"ENSG00000168398.7",42,37,29,26,24,38
"ENSG00000168404.13",252,311,293,469,291,219
"ENSG00000168405.18",2,1,1,3,5,2
"ENSG00000168411.14",387,336,319,952,706,317
"ENSG00000168412.6",4,0,3,2,3,0
"ENSG00000168418.8",1,0,1,0,0,0
"ENSG00000168421.13",1,2,1,6,2,3
"ENSG00000168427.9",0,0,0,4,0,1
"ENSG00000168434.13",222,171,138,348,263,155
"ENSG00000168438.15",708,921,983,807,966,981
"ENSG00000168439.17",1872,1963,1816,7313,3172,1505
"ENSG00000168447.11",0,0,0,0,0,0
"ENSG00000168453.16",364,214,207,463,537,320
"ENSG00000168454.13",1,0,1,0,0,0
"ENSG00000168461.13",14,9,3,584,968,173
"ENSG00000168476.12",533,577,529,1290,1053,513
"ENSG00000168477.19",74,8,26,37,36,14
"ENSG00000168481.9",0,0,2,0,1,0
"ENSG00000168484.13",0,0,0,0,0,0
"ENSG00000168487.20",292,182,294,382,366,237
"ENSG00000168488.19",1551,1355,1326,3051,2244,1329
"ENSG00000168490.14",2,6,2,5,1,0
"ENSG00000168491.10",48,199,191,27,41,166
"ENSG00000168495.13",266,335,359,416,399,338
"ENSG00000168496.4",522,634,722,1149,1127,751
"ENSG00000168497.5",6,5,30,76,99,100
"ENSG00000168502.17",982,1575,1656,2301,2133,2108
"ENSG00000168505.7",0,0,0,0,2,0
"ENSG00000168509.20",1,0,0,0,0,0
"ENSG00000168515.3",0,0,0,0,0,0
"ENSG00000168517.11",100,123,121,192,110,92
"ENSG00000168522.13",1329,1358,1610,1540,1384,1195
"ENSG00000168528.12",3234,2325,2385,6897,3060,2312
"ENSG00000168530.16",0,0,0,0,0,0
"ENSG00000168538.16",339,508,541,559,425,508
"ENSG00000168539.4",0,0,0,0,0,0
"ENSG00000168542.16",111,25,21,62,159,139
"ENSG00000168546.11",0,0,0,0,2,0
"ENSG00000168556.7",383,306,405,478,330,392
"ENSG00000168564.6",1303,1729,1838,823,1662,2601
"ENSG00000168566.13",383,433,450,338,486,374
"ENSG00000168569.8",299,432,439,451,496,399
"ENSG00000168575.10",499,417,380,740,569,419
"ENSG00000168582.5",0,0,0,0,0,0
"ENSG00000168589.15",0,0,0,0,0,0
"ENSG00000168591.16",519,413,426,658,674,454
"ENSG00000168594.15",0,0,0,0,0,0
"ENSG00000168610.16",1580,1134,1074,3526,1950,1193
"ENSG00000168612.5",82,91,127,105,140,142
"ENSG00000168615.13",10712,16479,14234,8632,9418,14203
"ENSG00000168619.16",0,0,0,0,0,15
"ENSG00000168621.15",0,0,0,0,0,1
"ENSG00000168630.3",0,0,0,0,0,0
"ENSG00000168631.13",64,228,48,2198,116,146
"ENSG00000168634.5",0,0,0,0,0,0
"ENSG00000168646.14",118,102,138,293,122,131
"ENSG00000168653.11",2138,2444,3026,3357,2345,1910
"ENSG00000168658.19",7,5,16,0,4,2
"ENSG00000168661.15",33,40,27,42,25,36
"ENSG00000168671.10",0,0,0,0,0,0
"ENSG00000168672.4",4080,6092,6477,3034,5774,6715
"ENSG00000168675.19",7,3,10,75,17,78
"ENSG00000168676.11",3,0,0,0,4,3
"ENSG00000168679.18",1,14,7,13,19,8
"ENSG00000168685.15",2,0,2,0,1,2
"ENSG00000168701.19",784,919,1055,1202,1330,1000
"ENSG00000168702.18",0,0,0,2,2,1
"ENSG00000168703.5",0,0,0,0,0,0
"ENSG00000168710.18",1678,1912,2225,2253,1929,1587
"ENSG00000168724.17",1479,1883,2073,1265,1226,1590
"ENSG00000168734.14",111,56,58,252,127,107
"ENSG00000168743.13",522,1345,1469,3115,1369,1210
"ENSG00000168746.8",0,0,0,0,0,0
"ENSG00000168748.14",0,0,3,8,2,3
"ENSG00000168754.15",0,0,1,14,35,3
"ENSG00000168757.13",0,0,0,0,0,0
"ENSG00000168758.11",488,576,403,802,866,409
"ENSG00000168763.16",404,420,338,872,573,284
"ENSG00000168765.18",156,107,131,332,256,198
"ENSG00000168769.14",406,488,629,272,522,623
"ENSG00000168772.11",25,32,51,12,19,48
"ENSG00000168778.13",145,118,116,246,125,118
"ENSG00000168779.21",1,13,14,3,20,103
"ENSG00000168781.23",377,337,337,372,377,259
"ENSG00000168785.8",33,31,35,138,29,103
"ENSG00000168792.5",244,292,241,486,389,262
"ENSG00000168795.5",546,463,461,440,577,342
"ENSG00000168802.14",651,509,394,1207,854,394
"ENSG00000168803.16",107,104,157,120,161,152
"ENSG00000168806.8",140,203,270,173,265,288
"ENSG00000168807.17",371,581,705,427,546,573
"ENSG00000168811.7",8,0,12,3,17,10
"ENSG00000168813.17",338,304,342,272,427,358
"ENSG00000168818.10",908,1070,1104,918,851,831
"ENSG00000168824.15",4,2,0,1,6,8
"ENSG00000168826.16",42,42,40,61,59,33
"ENSG00000168827.15",1146,1540,1486,1222,1531,1759
"ENSG00000168828.6",0,0,0,0,0,3
"ENSG00000168830.8",0,0,0,0,0,0
"ENSG00000168843.14",0,0,0,0,0,2
"ENSG00000168852.13",1,4,1,1,8,3
"ENSG00000168872.17",523,403,443,1120,725,377
"ENSG00000168874.13",1,0,1,0,2,0
"ENSG00000168875.3",0,0,0,0,0,0
"ENSG00000168876.9",376,364,404,195,403,377
"ENSG00000168878.19",0,0,1,0,1,0
"ENSG00000168883.20",683,720,798,1456,1068,623
"ENSG00000168884.15",549,549,614,1042,593,511
"ENSG00000168887.11",357,307,265,487,467,311
"ENSG00000168890.14",62,109,69,158,116,95
"ENSG00000168894.10",1073,1167,935,1028,1076,969
"ENSG00000168899.5",60,25,17,40,39,11
"ENSG00000168903.9",27,7,12,2,12,4
"ENSG00000168904.15",82,109,88,128,124,106
"ENSG00000168906.13",2117,4549,4583,4685,7290,5221
"ENSG00000168907.13",5,1,7,9,16,8
"ENSG00000168913.7",7,1,8,4,8,3
"ENSG00000168916.16",688,385,643,310,544,586
"ENSG00000168917.9",4,4,5,1,16,11
"ENSG00000168918.14",6,6,11,25,12,18
"ENSG00000168924.15",826,720,571,1320,1619,573
"ENSG00000168925.12",0,0,0,0,0,0
"ENSG00000168928.13",0,0,0,0,0,0
"ENSG00000168930.13",0,0,0,0,2,0
"ENSG00000168936.11",1118,1022,885,1023,1295,938
"ENSG00000168938.6",1099,1026,1233,1267,941,1223
"ENSG00000168939.12",15,8,16,6,10,9
"ENSG00000168944.17",372,336,388,276,424,330
"ENSG00000168952.16",354,410,356,113,192,380
"ENSG00000168955.4",38,34,54,66,91,67
"ENSG00000168958.20",992,1095,1357,1081,1449,1475
"ENSG00000168959.15",0,0,0,0,1,0
"ENSG00000168961.17",423,178,192,1135,1334,422
"ENSG00000168967.14",0,0,0,0,2,0
"ENSG00000168970.22",132,114,76,53,146,154
"ENSG00000168992.4",0,0,0,0,0,0
"ENSG00000168993.15",7,3,0,2,15,4
"ENSG00000168994.14",3,3,2,201,336,5
"ENSG00000168995.13",0,0,0,0,0,0
"ENSG00000169006.7",0,0,0,0,0,0
"ENSG00000169016.17",379,330,311,497,581,406
"ENSG00000169018.6",904,788,827,857,903,854
"ENSG00000169019.11",1178,1471,1290,489,1456,1736
"ENSG00000169020.10",1314,1674,2051,1609,1680,1320
"ENSG00000169021.6",1407,1567,1807,1425,1591,1598
"ENSG00000169026.13",2,0,2,2,4,1
"ENSG00000169031.21",0,0,1,0,2,4
"ENSG00000169032.11",1435,1592,2020,2168,1454,1566
"ENSG00000169035.12",0,6,7,82,7,36
"ENSG00000169040.14",0,0,0,1,0,0
"ENSG00000169045.17",8302,11312,12008,7089,12857,12369
"ENSG00000169047.6",1209,1063,1257,1798,1265,1359
"ENSG00000169057.24",500,413,523,679,633,422
"ENSG00000169059.13",0,0,0,0,0,0
"ENSG00000169062.15",960,903,1201,1301,1381,1219
"ENSG00000169064.13",3,0,0,3,0,1
"ENSG00000169067.4",3,4,9,3,13,32
"ENSG00000169071.15",0,0,0,0,3,3
"ENSG00000169075.7",0,0,0,1,1,2
"ENSG00000169083.18",0,3,0,1,1,9
"ENSG00000169084.15",103,86,110,240,106,157
"ENSG00000169085.13",1,4,0,0,0,4
"ENSG00000169087.11",93,94,128,143,214,185
"ENSG00000169093.16",181,177,199,446,257,144
"ENSG00000169100.14",16354,12382,11599,23975,18227,9001
"ENSG00000169105.8",99,70,55,209,84,89
"ENSG00000169116.11",119,53,74,254,268,299
"ENSG00000169118.18",251,250,296,411,300,281
"ENSG00000169122.12",1,1,0,0,0,0
"ENSG00000169126.16",0,0,0,0,0,0
"ENSG00000169129.15",390,402,382,710,396,346
"ENSG00000169131.13",256,288,320,216,260,369
"ENSG00000169136.13",339,282,293,1118,647,497
"ENSG00000169139.12",3313,6783,6482,3473,4964,5199
"ENSG00000169154.7",0,0,0,0,0,0
"ENSG00000169155.10",296,147,182,168,220,190
"ENSG00000169164.7",0,0,0,0,0,0
"ENSG00000169169.15",5,4,8,3,7,4
"ENSG00000169174.11",1735,2710,2242,2910,3104,1561
"ENSG00000169180.12",798,541,612,1487,1027,543
"ENSG00000169181.13",0,0,0,0,1,0
"ENSG00000169184.6",2,2,3,0,2,10
"ENSG00000169188.5",187,158,143,417,311,185
"ENSG00000169189.17",215,291,281,641,286,234
"ENSG00000169193.12",199,185,144,78,274,303
"ENSG00000169194.10",0,0,0,0,4,0
"ENSG00000169203.17",55,84,63,46,50,46
"ENSG00000169208.3",3,6,2,1,8,5
"ENSG00000169213.7",105,44,111,254,88,71
"ENSG00000169214.5",0,0,0,0,0,0
"ENSG00000169217.9",1197,979,729,1449,1495,913
"ENSG00000169218.14",0,0,0,0,0,0
"ENSG00000169220.18",104,89,106,218,160,177
"ENSG00000169221.14",555,503,448,1081,775,478
"ENSG00000169223.15",2806,2793,2343,3861,3436,2583
"ENSG00000169224.13",0,0,0,0,0,0
"ENSG00000169228.14",618,558,616,470,730,609
"ENSG00000169230.10",4306,3392,2963,3642,5038,2682
"ENSG00000169231.13",184,221,244,220,264,300
"ENSG00000169239.13",102,97,131,136,148,163
"ENSG00000169241.19",1719,1890,2035,1824,1662,1793
"ENSG00000169242.12",2441,1664,1781,1439,782,1201
"ENSG00000169245.6",1,7,2,10,9,19
"ENSG00000169246.16",948,990,1330,1076,2346,1374
"ENSG00000169247.14",6,12,11,16,39,19
"ENSG00000169248.13",6,1,2,15,47,73
"ENSG00000169249.14",165,189,204,256,165,165
"ENSG00000169251.13",3591,4719,4791,1580,2747,4820
"ENSG00000169252.6",1,0,2,3,6,16
"ENSG00000169253.3",0,0,0,0,0,0
"ENSG00000169255.15",467,848,689,404,720,911
"ENSG00000169258.7",45,34,49,225,101,93
"ENSG00000169271.3",0,0,0,0,0,1
"ENSG00000169282.18",11,26,15,12,30,35
"ENSG00000169288.18",1020,1807,1744,698,1238,1997
"ENSG00000169291.10",3,4,0,1,1,4
"ENSG00000169297.8",0,0,0,0,0,0
"ENSG00000169299.14",889,1249,1548,634,1098,1335
"ENSG00000169302.16",1,0,1,1,0,0
"ENSG00000169306.10",23,13,14,10,10,14
"ENSG00000169313.10",0,0,0,0,0,0
"ENSG00000169314.15",4,0,0,0,2,7
"ENSG00000169325.10",0,0,0,0,0,0
"ENSG00000169327.5",0,0,0,1,0,2
"ENSG00000169330.9",5,1,8,5,6,31
"ENSG00000169340.10",0,0,0,0,0,0
"ENSG00000169344.16",0,0,0,0,0,0
"ENSG00000169347.17",2,1,0,1,2,1
"ENSG00000169359.16",725,888,856,725,649,1032
"ENSG00000169371.14",151,247,257,469,341,238
"ENSG00000169372.13",88,58,46,107,98,109
"ENSG00000169375.16",782,618,533,1339,749,507
"ENSG00000169379.17",449,592,612,320,696,1134
"ENSG00000169385.3",0,0,0,0,0,0
"ENSG00000169393.10",0,0,0,0,0,0
"ENSG00000169397.4",0,0,0,0,0,0
"ENSG00000169398.19",1287,1848,1842,3290,1877,1282
"ENSG00000169402.15",0,2,0,0,0,0
"ENSG00000169403.12",7,3,2,14,8,6
"ENSG00000169410.11",438,324,260,809,492,309
"ENSG00000169413.3",0,2,0,1,0,2
"ENSG00000169418.10",0,0,0,1,1,3
"ENSG00000169427.8",4,3,2,19,21,15
"ENSG00000169429.11",1047,5421,3315,7331,2036,5613
"ENSG00000169432.19",32,16,37,27,10,31
"ENSG00000169435.14",486,456,604,451,303,285
"ENSG00000169436.17",1,0,0,0,2,9
"ENSG00000169439.12",0,2,6,0,12,10
"ENSG00000169442.9",2,0,0,1,0,0
"ENSG00000169446.6",990,1119,874,1013,930,1080
"ENSG00000169469.9",0,1,0,0,1,4
"ENSG00000169474.4",0,0,0,2,2,1
"ENSG00000169484.4",0,0,0,0,0,0
"ENSG00000169488.7",0,0,0,0,0,2
"ENSG00000169490.17",571,727,819,1278,799,1110
"ENSG00000169495.5",3,2,4,4,5,1
"ENSG00000169499.15",321,458,535,493,365,582
"ENSG00000169504.15",2644,4867,5050,3167,2397,4323
"ENSG00000169507.10",4,4,9,8,32,0
"ENSG00000169508.7",0,2,0,0,1,0
"ENSG00000169509.6",0,0,0,0,0,1
"ENSG00000169515.8",0,0,1,0,0,0
"ENSG00000169519.21",311,361,441,366,367,391
"ENSG00000169548.3",0,2,3,3,1,2
"ENSG00000169550.14",0,0,0,0,0,0
"ENSG00000169551.13",0,0,0,0,4,43
"ENSG00000169554.23",114,84,85,82,191,364
"ENSG00000169562.13",74,95,79,85,135,112
"ENSG00000169564.7",5140,5214,6325,9504,5716,5557
"ENSG00000169567.13",18273,21566,19582,7460,17461,21894
"ENSG00000169570.10",360,353,357,263,453,528
"ENSG00000169575.5",0,0,0,0,0,0
"ENSG00000169583.13",40,39,59,281,10,70
"ENSG00000169592.15",1044,1170,1113,1160,1635,1138
"ENSG00000169594.14",0,0,0,0,0,0
"ENSG00000169598.17",82,124,97,98,159,90
"ENSG00000169599.13",520,742,789,653,658,867
